customer_id,plan_type,country,company_size,days_active_last_30,last_login_days_ago,features_used,team_members_added,support_tickets,billing_issues,subscription_age_months,emails_opened_last_30,training_completed,monthly_fee,signup_date,churned
CUST-1,Starter,Canada,Small,20,28,1,20,1,0,31,7,0,29,2025-07-26,0
CUST-2,Enterprise,Nigeria,Medium,16,5,4,15,1,0,19,1,1,249,2025-03-24,0
CUST-3,Pro,Canada,Small,14,21,5,14,3,0,24,3,0,79,2024-10-08,0
CUST-4,Starter,US,Large,5,2,9,4,2,0,9,9,1,29,2025-11-05,0
CUST-5,Free,US,Small,15,9,7,5,3,0,23,12,1,0,2024-02-26,0
CUST-6,Free,UK,Large,16,0,7,5,5,0,4,15,0,0,2024-07-09,0
CUST-7,Free,Germany,Large,2,27,8,2,2,0,10,12,1,0,2025-10-05,0
CUST-8,Pro,Canada,Medium,9,13,5,15,1,0,9,0,1,79,2025-04-07,0
CUST-9,Pro,UK,Small,4,3,5,11,3,0,19,15,0,79,2024-02-11,1
CUST-10,Pro,Germany,Small,13,25,1,3,4,0,15,1,1,79,2025-04-30,0
CUST-11,Free,Canada,Large,25,11,9,0,2,0,34,6,0,0,2024-06-21,0
CUST-12,Enterprise,Nigeria,Small,28,5,6,3,1,0,19,0,1,249,2025-11-09,0
CUST-13,Pro,Canada,Large,20,10,9,0,0,0,21,11,0,79,2024-09-06,0
CUST-14,Free,US,Small,12,11,3,20,2,0,34,0,0,0,2025-05-24,0
CUST-15,Free,US,Small,25,9,5,7,2,0,17,1,1,0,2025-05-16,0
CUST-16,Free,Nigeria,Large,5,17,2,4,5,0,18,3,1,0,2024-07-11,1
CUST-17,Starter,UK,Medium,30,6,10,1,4,1,17,6,0,29,2024-06-13,0
CUST-18,Starter,Germany,Medium,11,6,5,11,5,0,2,3,1,29,2024-03-30,0
CUST-19,Starter,Canada,Medium,25,10,8,16,2,0,1,4,1,29,2025-11-21,0
CUST-20,Starter,US,Small,7,3,2,6,2,0,10,3,1,29,2024-02-27,0
CUST-21,Pro,UK,Medium,4,19,8,10,4,0,5,3,1,79,2024-09-19,1
CUST-22,Free,Nigeria,Small,29,30,4,3,4,1,12,8,1,0,2025-10-09,0
CUST-23,Starter,US,Large,14,0,10,4,3,0,36,14,1,29,2024-08-30,0
CUST-24,Starter,Nigeria,Large,26,12,10,5,1,1,31,5,1,29,2025-10-24,0
CUST-25,Starter,Canada,Small,15,17,1,10,1,0,9,11,1,29,2024-08-06,0
CUST-26,Pro,Germany,Medium,0,8,5,0,3,0,26,2,0,79,2024-01-09,0
CUST-27,Free,US,Medium,15,25,1,9,1,0,15,5,0,0,2025-03-05,1
CUST-28,Starter,US,Small,4,23,7,19,2,0,16,12,0,29,2024-01-13,0
CUST-29,Starter,Canada,Large,2,23,8,20,3,0,13,6,0,29,2024-08-12,1
CUST-30,Free,UK,Small,19,8,3,10,3,0,25,6,0,0,2025-11-20,0
CUST-31,Pro,Germany,Small,14,30,3,16,1,0,30,7,1,79,2024-03-07,1
CUST-32,Free,US,Small,30,22,7,7,0,1,7,12,1,0,2025-10-30,0
CUST-33,Free,Germany,Small,12,28,4,12,1,0,4,3,1,0,2025-11-07,1
CUST-34,Enterprise,US,Medium,23,8,3,19,5,0,30,0,1,249,2025-05-17,0
CUST-35,Enterprise,Germany,Medium,15,9,8,17,0,0,10,5,0,249,2024-07-02,0
CUST-36,Pro,Nigeria,Medium,22,27,3,15,3,0,30,7,1,79,2024-07-26,0
CUST-37,Starter,US,Medium,10,1,7,1,0,0,7,4,1,29,2025-06-11,0
CUST-38,Free,Germany,Small,20,5,2,4,2,0,36,12,0,0,2024-10-26,0
CUST-39,Pro,UK,Small,1,14,1,17,4,0,35,2,1,79,2024-08-28,0
CUST-40,Starter,Nigeria,Small,21,2,6,2,0,0,24,3,1,29,2025-03-30,0
CUST-41,Free,Nigeria,Small,26,10,8,16,5,0,36,7,1,0,2025-06-13,0
CUST-42,Starter,UK,Medium,5,30,1,15,4,0,20,5,0,29,2025-10-20,1
CUST-43,Free,Germany,Small,25,5,10,5,2,1,32,12,1,0,2024-08-31,0
CUST-44,Enterprise,Canada,Small,25,2,9,18,5,0,26,14,1,249,2025-07-16,0
CUST-45,Starter,UK,Small,29,23,3,6,4,0,26,12,1,29,2024-08-25,0
CUST-46,Pro,Germany,Large,26,30,3,17,2,0,36,4,1,79,2024-09-02,0
CUST-47,Starter,UK,Large,5,10,4,13,4,0,35,12,1,29,2024-12-10,0
CUST-48,Starter,UK,Medium,13,14,1,5,4,0,35,15,1,29,2025-04-28,0
CUST-49,Starter,US,Large,24,12,9,7,1,0,12,8,1,29,2024-11-05,0
CUST-50,Free,Germany,Medium,10,19,3,14,5,0,33,9,1,0,2025-07-14,1
CUST-51,Enterprise,Canada,Medium,7,27,10,14,5,0,36,2,1,249,2024-10-10,1
CUST-52,Pro,US,Small,7,9,4,14,0,0,14,6,1,79,2024-02-07,0
CUST-53,Enterprise,UK,Medium,0,5,1,15,5,0,33,8,0,249,2024-02-01,0
CUST-54,Pro,UK,Medium,20,14,4,0,5,0,24,10,1,79,2024-08-30,0
CUST-55,Starter,UK,Medium,6,24,1,10,4,0,15,12,1,29,2025-07-06,1
CUST-56,Enterprise,Germany,Medium,5,17,5,4,3,0,31,15,1,249,2024-10-18,0
CUST-57,Free,Germany,Small,20,17,5,4,1,1,17,10,0,0,2025-09-06,1
CUST-58,Free,US,Medium,7,6,7,20,0,0,12,11,1,0,2024-10-18,0
CUST-59,Free,Canada,Large,18,14,8,5,1,0,22,3,1,0,2025-09-10,0
